country,t,estimate_main,Gini_main,estimate_T,Gini_T,estimate_CES,Gini_CES,estimate_PTM,Gini_PTM,estimate_Poor,Gini_Poor,estimate_Ladder,Gini_Ladder,estimate_PPML,Gini_PPML,estimate_Consumption,Gini_Consumption
HUN,2016-2018,.5668,36.439999,.5302,35.529999,.49689999,34.66,.58810002,36.939999,.67470002,38.84,.59469998,37.09,.3502,30.16,.46290001,33.73
IDN,1995-1997,.72399998,39.82,.7719,40.720001,.98860002,44.23,.42030001,32.470001,.69809997,39.310001,.87650001,42.52,.477,34.119999,.56489998,36.389999
IDN,1998-2000,.91649997,43.150002,.9867,44.200001,1.1739,46.68,.68559998,39.060001,.73159999,39.970001,1.216,47.18,.54189998,35.830002,.59490001,37.099998
IDN,2001-2003,.9619,43.84,.94209999,43.540001,1.1706001,46.639999,.75629997,40.43,.69529998,39.259998,1.4126,49.310001,.54290003,35.849998,.67400002,38.82
IDN,2004-2006,1.0103,44.540001,.88429999,42.650002,1.1584001,46.490002,.84670001,42.029999,.9073,43.009998,1.2135,47.150002,.63789999,38.060001,.58670002,36.91
IDN,2007-2009,1.0259,44.759998,.866,42.349998,1.1778001,46.73,.87900001,42.560001,.62669998,37.810001,1.2180001,47.200001,.68830001,39.119999,.921,43.220001
IDN,2010-2012,1.092,45.650002,.9052,42.98,1.2406,47.470001,.83649999,41.860001,1.135,46.200001,1.4005001,49.18,.6552,38.43,.7942,41.119999
IDN,2013-2015,1.1137,45.93,.94459999,43.580002,1.2404,47.459999,.92150003,43.23,1.0405999,44.959999,1.5034,50.18,.7062,39.470001,.95829999,43.790001
IDN,2016-2018,1.3043,48.18,1.0899,45.619999,1.3712,48.880001,1.1143,45.939999,1.3125,48.259998,1.6817,51.75,.7378,40.09,1.1257,46.080002
IND,1995-1997,1.3802,48.98,1.7645,52.419998,1.4938,50.09,1.0420001,44.98,1.6749001,51.689999,1.6947,51.860001,.56370002,36.360001,.47119999,33.959999
IND,1998-2000,1.3854001,49.029999,1.5801001,50.880001,1.4427,49.599998,1.2531,47.610001,1.569,50.779999,1.5138,50.279999,.74559999,40.23,.57910001,36.73
IND,2001-2003,1.4780999,49.939999,.68870002,39.119999,1.5190001,50.330002,1.3958,49.139999,1.6479,51.470001,1.5901999,50.970001,.70740002,39.5,.72610003,39.860001
IND,2004-2006,1.6842999,51.77,1.545,50.57,1.6949,51.860001,1.7539001,52.330002,1.7887,52.610001,1.7552,52.34,.77319998,40.75,.83399999,41.82
IND,2007-2009,1.1396,46.259998,1.1497999,46.380001,1.4071,49.25,.73930001,40.119999,1.789,52.610001,1.7149,52.02,.75580001,40.43,.99019998,44.25
IND,2010-2012,1.8361,52.970001,1.5312999,50.439999,1.8841,53.32,1.9072,53.490002,1.8234,52.869999,2.0987999,54.799999,.86559999,42.34,.85350001,42.139999
IND,2013-2015,1.7684,52.450001,1.4795001,49.959999,1.8115,52.779999,1.7692,52.459999,1.8252,52.889999,1.9724,53.950001,.83609998,41.849998,.93430001,43.43
IND,2016-2018,1.9392999,53.720001,1.5031,50.18,1.9496,53.790001,1.9524,53.810001,2.2406001,55.68,2.1801,55.310001,.83890003,41.900002,1.0964,45.700001
IRL,1995-1997,.32080001,29.09,.47760001,34.139999,.37670001,31.07,.30430001,28.450001,.42860001,32.720001,.31529999,28.879999,.345,29.969999,.236,25.52
IRL,1998-2000,.29629999,28.129999,.43669999,32.959999,.33610001,29.65,.30000001,28.280001,.34900001,30.120001,.23720001,25.57,.3748,31.01,.26460001,26.809999
IRL,2001-2003,.34670001,30.040001,.42089999,32.490002,.37090001,30.870001,.3538,30.280001,.41690001,32.360001,.31600001,28.9,.34900001,30.110001,.27990001,27.459999
IRL,2004-2006,.3863,31.389999,.44710001,33.27,.4003,31.84,.3836,31.299999,.40830001,32.09,.4127,32.23,.4021,31.9,.25619999,26.440001
IRL,2007-2009,.4136,32.259998,.3407,29.82,.4181,32.400002,.4201,32.459999,.47420001,34.040001,.4111,32.18,.39989999,31.83,.27149999,27.110001
IRL,2010-2012,.39379999,31.629999,.3312,29.469999,.41780001,32.389999,.42199999,32.52,.39840001,31.780001,.4077,32.07,.3973,31.75,.259,26.57
IRL,2013-2015,.40079999,31.860001,.3398,29.790001,.41,32.150002,.42609999,32.650002,.38929999,31.49,.4427,33.139999,.3721,30.91,.26370001,26.77
IRL,2016-2018,.36559999,30.690001,.3267,29.299999,.3786,31.129999,.38690001,31.41,.34869999,30.110001,.373,30.940001,.33539999,29.629999,.25659999,26.459999
IRN,1995-1997,.31659999,28.93,.33199999,29.5,.3391,29.76,.32539999,29.26,.1837,22.84,.41960001,32.450001,.3321,29.5,.29679999,28.15
IRN,1998-2000,.46489999,33.779999,.52969998,35.52,.6124,37.5,.4984,34.700001,.1141,18.379999,.41280001,32.240002,.37529999,31.02,.34619999,30.02
IRN,2001-2003,.4867,34.389999,.45629999,33.540001,.54250002,35.84,.65689999,38.470001,-.12970001,,.5169,35.189999,.4235,32.57,.6006,37.23
IRN,2004-2006,.4937,34.580002,-.037700001,,.54570001,35.919998,.4727,34,.20200001,23.83,.63700002,38.040001,.5352,35.66,.73970002,40.119999
IRN,2007-2009,.61949998,37.650002,.62910002,37.869999,.67589998,38.860001,.72939998,39.93,.5165,35.18,1.2035,47.029999,.55199999,36.080002,.80140001,41.25
IRN,2010-2012,.67330003,38.810001,.64410001,38.189999,.75309998,40.380001,.59109998,37.009998,.45190001,33.41,1.1526999,46.419998,.60769999,37.389999,.59619999,37.130001
IRN,2013-2015,.93229997,43.400002,.95270002,43.700001,1.0606,45.23,.93709999,43.470001,.76880002,40.66,1.4741,49.91,.64679998,38.25,.75319999,40.380001
IRN,2016-2018,1.0414,44.970001,.95829999,43.790001,1.1123,45.91,1.0252,44.75,.95169997,43.689999,1.6583,51.560001,.63919997,38.09,.68440002,39.040001
IRQ,1995-1997,1.8063999,52.740002,2.1341,55.02,2.0831001,54.689999,2.3958001,56.57,1.8625,53.16,.1003,17.299999,.34240001,29.879999,-.2723,
